version,cpu,date,source,diameter,rotations,fn,size,facets,volume,time,manifold_time
2025.10.17,Apple M1,1776622074,spiral_4.scad,47,40,100,8358379,34242,9954.084961,3,0
2025.10.17,Apple M1,1776622074,spiral_4.scad,47,60,100,8358379,34242,9954.084961,7,0
2025.10.17,Apple M1,1776622074,spiral_5.scad,47,1,100,338051,1388,260.902832,1,0
2025.10.17,Apple M1,1776622074,spiral_5.scad,225,1,100,7726646,31812,1184.960693,0,1
2025.10.17,Apple M1,1776622074,spiral_5.scad,300,1,100,13773188,56548,1573.813599,1,1
2025.10.17,Apple M1,1776622074,spiral_5.scad,47,2,100,740716,3036,545.299683,0,0
2025.10.17,Apple M1,1776622074,spiral_5.scad,225,2,100,15755973,64820,2391.936035,2,1
2025.10.17,Apple M1,1776622074,spiral_5.scad,300,2,100,27914031,114692,3169.563965,2,3
2025.10.17,Apple M1,1776622074,spiral_5.scad,47,5,100,2378135,9756,1528.756226,0,0
2025.10.17,Apple M1,1776622074,spiral_5.scad,225,5,100,41617914,171236,6143.295410,4,4
2025.10.17,Apple M1,1776622074,spiral_5.scad,300,5,100,72791379,298884,8087.031250,9,10
2025.10.17,Apple M1,1776622074,spiral_5.scad,47,10,100,6860546,28188,3602.097900,1,0
2025.10.17,Apple M1,1776622074,spiral_5.scad,225,10,100,91101836,374580,12830.252930,14,13
2025.10.17,Apple M1,1776622074,spiral_5.scad,300,10,100,155863498,639748,16717.558594,34,32
2025.10.17,Apple M1,1776622074,spiral_5.scad,47,20,100,24796370,102092,9377.504883,2,2
2025.10.17,Apple M1,1776622074,spiral_5.scad,225,20,100,216267202,888588,27831.775391,59,59
2025.10.17,Apple M1,1776622074,spiral_5.scad,300,20,100,355449738,1458412,35604.566406,154,162
2025.10.17,Apple M1,1776622074,spiral_5.scad,47,40,100,24796370,102092,9377.504883,19,2
2025.10.17,Apple M1,1776622074,spiral_5.scad,47,60,100,24796370,102092,9377.504883,133,3
2025.10.17,Apple M1,1776622074,spiral_6.scad,47,1,100,1693150,6464,1531.511841,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,225,1,100,1693150,6464,1531.511841,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,300,1,100,1693150,6464,1531.511841,1,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,47,2,100,2462435,9344,3041.319092,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,225,2,100,2462435,9344,3041.319092,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,300,2,100,2462435,9344,3041.319092,0,1
2025.10.17,Apple M1,1776622074,spiral_6.scad,47,5,100,4389473,16544,7440.248535,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,225,5,100,4389473,16544,7440.248535,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,300,5,100,4389473,16544,7440.248535,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,47,10,100,7464840,28064,14337.451172,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,225,10,100,7464840,28064,14337.451172,0,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,300,10,100,7464840,28064,14337.451172,1,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,47,20,100,13985383,52544,26502.187500,0,1
2025.10.17,Apple M1,1776622074,spiral_6.scad,225,20,100,13985383,52544,26502.187500,1,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,300,20,100,13985383,52544,26502.187500,1,0
2025.10.17,Apple M1,1776622074,spiral_6.scad,47,40,100,13985383,52544,26502.187500,0,1
2025.10.17,Apple M1,1776622074,spiral_6.scad,47,60,100,13985383,52544,26502.187500,1,1
2025.10.17,Apple M1,1776622074,spiral_7.scad,47,1,100,178344,732,259.153931,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,225,1,100,189368,780,1171.729370,0,1
2025.10.17,Apple M1,1776622074,spiral_7.scad,300,1,100,191682,788,1556.346924,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,47,2,100,346903,1420,542.598999,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,225,2,100,375272,1548,2376.947021,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,300,2,100,378306,1556,3149.751953,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,47,5,100,791479,3252,1521.464111,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,225,5,100,923930,3804,6121.367188,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,300,5,100,935589,3852,8059.580566,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,47,10,100,1438889,5924,3581.507568,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,225,10,100,1770850,7292,12790.760742,1,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,300,10,100,1816772,7468,16671.162109,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,47,20,100,2574707,10620,9307.821289,0,1
2025.10.17,Apple M1,1776622074,spiral_7.scad,225,20,100,3334358,13732,27738.013672,0,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,300,20,100,3444881,14156,35502.335938,1,0
2025.10.17,Apple M1,1776622074,spiral_7.scad,47,40,100,2574707,10620,9307.821289,0,1
2025.10.17,Apple M1,1776622074,spiral_7.scad,47,60,100,2574707,10620,9307.821289,0,0
